,missing_count
id,0
date,0
price,0
bedrooms,0
bathrooms,0
sqft_living,0
sqft_lot,0
floors,0
waterfront,0
view,0
condition,0
grade,0
sqft_above,0
sqft_basement,0
yr_built,0
yr_renovated,0
zipcode,0
lat,0
long,0
sqft_living15,0
sqft_lot15,0
